lang,langType,territory,revGenDate,defs,dftLang,file
aa,aa,,,4,0,aa.xml
aa-DJ,aa,DJ,,2,0,aa_DJ.xml
aa-ER,aa,ER,,1,0,aa_ER.xml
aa-ET,aa,ET,,0,0,aa_ET.xml
ab,ab,,,7,0,ab.xml
ab-GE,ab,GE,,0,0,ab_GE.xml
af,af,,,10,0,af.xml
af-NA,af,NA,,2,0,af_NA.xml
af-ZA,af,ZA,,0,0,af_ZA.xml
agq,agq,,,6,0,agq.xml
agq-CM,agq,CM,,0,0,agq_CM.xml
ak,ak,,,10,0,ak.xml
ak-GH,ak,GH,,0,0,ak_GH.xml
am,am,,,11,0,am.xml
am-ET,am,ET,,0,0,am_ET.xml
an,an,,,8,0,an.xml
an-ES,an,ES,,0,0,an_ES.xml
ann,ann,,,3,0,ann.xml
ann-NG,ann,NG,,0,0,ann_NG.xml
apc,apc,,,5,0,apc.xml
apc-SY,apc,SY,,0,0,apc_SY.xml
ar,ar,,,12,0,ar.xml
ar-001,ar,001,,0,0,ar_001.xml
ar-AE,ar,AE,,3,0,ar_AE.xml
ar-BH,ar,BH,,1,0,ar_BH.xml
ar-DJ,ar,DJ,,1,0,ar_DJ.xml
ar-DZ,ar,DZ,,3,0,ar_DZ.xml
ar-EG,ar,EG,,2,0,ar_EG.xml
ar-EH,ar,EH,,1,0,ar_EH.xml
ar-ER,ar,ER,,1,0,ar_ER.xml
ar-IL,ar,IL,,2,0,ar_IL.xml
ar-IQ,ar,IQ,,2,0,ar_IQ.xml
ar-JO,ar,JO,,2,0,ar_JO.xml
ar-KM,ar,KM,,2,0,ar_KM.xml
ar-KW,ar,KW,,1,0,ar_KW.xml
ar-LB,ar,LB,,3,0,ar_LB.xml
ar-LY,ar,LY,,4,0,ar_LY.xml
ar-MA,ar,MA,,3,0,ar_MA.xml
ar-MR,ar,MR,,3,0,ar_MR.xml
ar-OM,ar,OM,,1,0,ar_OM.xml
ar-PS,ar,PS,,2,0,ar_PS.xml
ar-QA,ar,QA,,1,0,ar_QA.xml
ar-SA,ar,SA,,5,0,ar_SA.xml
ar-SD,ar,SD,,1,0,ar_SD.xml
ar-SO,ar,SO,,2,0,ar_SO.xml
ar-SS,ar,SS,,1,0,ar_SS.xml
ar-SY,ar,SY,,2,0,ar_SY.xml
ar-TD,ar,TD,,1,0,ar_TD.xml
ar-TN,ar,TN,,3,0,ar_TN.xml
ar-YE,ar,YE,,1,0,ar_YE.xml
arn,arn,,,2,0,arn.xml
arn-CL,arn,CL,,0,0,arn_CL.xml
as,as,,,10,0,as.xml
as-IN,as,IN,,0,0,as_IN.xml
asa,asa,,,5,0,asa.xml
asa-TZ,asa,TZ,,0,0,asa_TZ.xml
ast,ast,,,10,0,ast.xml
ast-ES,ast,ES,,0,0,ast_ES.xml
az,az,,,10,0,az.xml
az-Arab,az,,,5,0,az_Arab.xml
az-Arab-IQ,az,IQ,,0,0,az_Arab_IQ.xml
az-Arab-IR,az,IR,,0,0,az_Arab_IR.xml
az-Arab-TR,az,TR,,0,0,az_Arab_TR.xml
az-Cyrl,az,,,5,0,az_Cyrl.xml
az-Cyrl-AZ,az,AZ,,0,0,az_Cyrl_AZ.xml
az-Latn,az,,,0,0,az_Latn.xml
az-Latn-AZ,az,AZ,,0,0,az_Latn_AZ.xml
ba,ba,,,2,0,ba.xml
ba-RU,ba,RU,,0,0,ba_RU.xml
bal,bal,,,6,0,bal.xml
bal-Arab,bal,,,0,0,bal_Arab.xml
bal-Arab-PK,bal,PK,,0,0,bal_Arab_PK.xml
bal-Latn,bal,,,7,0,bal_Latn.xml
bal-Latn-PK,bal,PK,,0,0,bal_Latn_PK.xml
bas,bas,,,6,0,bas.xml
bas-CM,bas,CM,,0,0,bas_CM.xml
be,be,,,11,0,be.xml
be-BY,be,BY,,0,0,be_BY.xml
be-TARASK,be,,,7,0,be_TARASK.xml
bem,bem,,,5,0,bem.xml
bem-ZM,bem,ZM,,0,0,bem_ZM.xml
bew,bew,,,10,0,bew.xml
bew-ID,bew,ID,,0,0,bew_ID.xml
bez,bez,,,5,0,bez.xml
bez-TZ,bez,TZ,,0,0,bez_TZ.xml
bg,bg,,,11,0,bg.xml
bg-BG,bg,BG,,0,0,bg_BG.xml
bgc,bgc,,,4,0,bgc.xml
bgc-IN,bgc,IN,,0,0,bgc_IN.xml
bgn,bgn,,,9,0,bgn.xml
bgn-AE,bgn,AE,,0,0,bgn_AE.xml
bgn-AF,bgn,AF,,0,0,bgn_AF.xml
bgn-IR,bgn,IR,,0,0,bgn_IR.xml
bgn-OM,bgn,OM,,0,0,bgn_OM.xml
bgn-PK,bgn,PK,,0,0,bgn_PK.xml
bho,bho,,,5,0,bho.xml
bho-IN,bho,IN,,0,0,bho_IN.xml
blo,blo,,,8,0,blo.xml
blo-BJ,blo,BJ,,0,0,blo_BJ.xml
blt,blt,,,2,0,blt.xml
blt-VN,blt,VN,,0,0,blt_VN.xml
bm,bm,,,6,0,bm.xml
bm-ML,bm,ML,,0,0,bm_ML.xml
bm-Nkoo,bm,,,4,0,bm_Nkoo.xml
bm-Nkoo-ML,bm,ML,,0,0,bm_Nkoo_ML.xml
bn,bn,,,10,0,bn.xml
bn-BD,bn,BD,,0,0,bn_BD.xml
bn-IN,bn,IN,,5,0,bn_IN.xml
bo,bo,,,5,0,bo.xml
bo-CN,bo,CN,,0,0,bo_CN.xml
bo-IN,bo,IN,,3,0,bo_IN.xml
br,br,,,11,0,br.xml
br-FR,br,FR,,0,0,br_FR.xml
brx,brx,,,8,0,brx.xml
brx-IN,brx,IN,,0,0,brx_IN.xml
bs,bs,,,12,0,bs.xml
bs-Cyrl,bs,,,9,0,bs_Cyrl.xml
bs-Cyrl-BA,bs,BA,,0,0,bs_Cyrl_BA.xml
bs-Latn,bs,,,0,0,bs_Latn.xml
bs-Latn-BA,bs,BA,,0,0,bs_Latn_BA.xml
bss,bss,,,5,0,bss.xml
bss-CM,bss,CM,,0,0,bss_CM.xml
byn,byn,,,4,0,byn.xml
byn-ER,byn,ER,,0,0,byn_ER.xml
ca,ca,,,12,0,ca.xml
ca-AD,ca,AD,,0,0,ca_AD.xml
ca-ES,ca,ES,,0,0,ca_ES.xml
ca-ES-VALENCIA,ca,ES,,4,0,ca_ES_VALENCIA.xml
ca-FR,ca,FR,,1,0,ca_FR.xml
ca-IT,ca,IT,,0,0,ca_IT.xml
cad,cad,,,5,0,cad.xml
cad-US,cad,US,,0,0,cad_US.xml
cch,cch,,,4,0,cch.xml
cch-NG,cch,NG,,0,0,cch_NG.xml
ccp,ccp,,,8,0,ccp.xml
ccp-BD,ccp,BD,,0,0,ccp_BD.xml
ccp-IN,ccp,IN,,0,0,ccp_IN.xml
ce,ce,,,5,0,ce.xml
ce-RU,ce,RU,,0,0,ce_RU.xml
ceb,ceb,,,8,0,ceb.xml
ceb-PH,ceb,PH,,0,0,ceb_PH.xml
cgg,cgg,,,5,0,cgg.xml
cgg-UG,cgg,UG,,0,0,cgg_UG.xml
cho,cho,,,2,0,cho.xml
cho-US,cho,US,,0,0,cho_US.xml
chr,chr,,,10,0,chr.xml
chr-US,chr,US,,0,0,chr_US.xml
cic,cic,,,5,0,cic.xml
cic-US,cic,US,,0,0,cic_US.xml
ckb,ckb,,,6,0,ckb.xml
ckb-IQ,ckb,IQ,,0,0,ckb_IQ.xml
ckb-IR,ckb,IR,,1,0,ckb_IR.xml
co,co,,,7,0,co.xml
co-FR,co,FR,,0,0,co_FR.xml
cs,cs,,,12,0,cs.xml
cs-CZ,cs,CZ,,0,0,cs_CZ.xml
csw,csw,,,8,0,csw.xml
csw-CA,csw,CA,,0,0,csw_CA.xml
cu,cu,,,7,0,cu.xml
cu-RU,cu,RU,,0,0,cu_RU.xml
cv,cv,,,11,0,cv.xml
cv-RU,cv,RU,,0,0,cv_RU.xml
cy,cy,,,10,0,cy.xml
cy-GB,cy,GB,,0,0,cy_GB.xml
da,da,,,11,0,da.xml
da-DK,da,DK,,0,0,da_DK.xml
da-GL,da,GL,,0,0,da_GL.xml
dav,dav,,,5,0,dav.xml
dav-KE,dav,KE,,0,0,dav_KE.xml
de,de,,,12,0,de.xml
de-AT,de,AT,,4,0,de_AT.xml
de-BE,de,BE,,0,0,de_BE.xml
de-CH,de,CH,,7,0,de_CH.xml
de-DE,de,DE,,0,0,de_DE.xml
de-IT,de,IT,,1,0,de_IT.xml
de-LI,de,LI,,3,0,de_LI.xml
de-LU,de,LU,,2,0,de_LU.xml
dje,dje,,,5,0,dje.xml
dje-NE,dje,NE,,0,0,dje_NE.xml
doi,doi,,,8,0,doi.xml
doi-IN,doi,IN,,0,0,doi_IN.xml
dsb,dsb,,,11,0,dsb.xml
dsb-DE,dsb,DE,,0,0,dsb_DE.xml
dua,dua,,,6,0,dua.xml
dua-CM,dua,CM,,0,0,dua_CM.xml
dv,dv,,,5,0,dv.xml
dv-MV,dv,MV,,0,0,dv_MV.xml
dyo,dyo,,,6,0,dyo.xml
dyo-SN,dyo,SN,,0,0,dyo_SN.xml
dz,dz,,,7,0,dz.xml
dz-BT,dz,BT,,0,0,dz_BT.xml
ebu,ebu,,,5,0,ebu.xml
ebu-KE,ebu,KE,,0,0,ebu_KE.xml
ee,ee,,,7,0,ee.xml
ee-GH,ee,GH,,0,0,ee_GH.xml
ee-TG,ee,TG,,1,0,ee_TG.xml
el,el,,,12,0,el.xml
el-CY,el,CY,,0,0,el_CY.xml
el-GR,el,GR,,0,0,el_GR.xml
el-POLYTON,el,,,6,0,el_POLYTON.xml
en,en,,,12,0,en.xml
en-001,en,001,,7,0,en_001.xml
en-150,en,150,,2,0,en_150.xml
en-AE,en,AE,,1,0,en_AE.xml
en-AG,en,AG,,1,0,en_AG.xml
en-AI,en,AI,,2,0,en_AI.xml
en-AS,en,AS,,0,0,en_AS.xml
en-AT,en,AT,,1,0,en_AT.xml
en-AU,en,AU,,6,0,en_AU.xml
en-BB,en,BB,,1,0,en_BB.xml
en-BE,en,BE,,2,0,en_BE.xml
en-BI,en,BI,,2,0,en_BI.xml
en-BM,en,BM,,1,0,en_BM.xml
en-BS,en,BS,,2,0,en_BS.xml
en-BW,en,BW,,2,0,en_BW.xml
en-BZ,en,BZ,,3,0,en_BZ.xml
en-CA,en,CA,,8,0,en_CA.xml
en-CC,en,CC,,2,0,en_CC.xml
en-CH,en,CH,,2,0,en_CH.xml
en-CK,en,CK,,2,0,en_CK.xml
en-CM,en,CM,,1,0,en_CM.xml
en-CX,en,CX,,2,0,en_CX.xml
en-CY,en,CY,,0,0,en_CY.xml
en-DE,en,DE,,1,0,en_DE.xml
en-DG,en,DG,,1,0,en_DG.xml
en-DK,en,DK,,2,0,en_DK.xml
en-DM,en,DM,,1,0,en_DM.xml
en-Dsrt,en,,,6,0,en_Dsrt.xml
en-Dsrt-US,en,US,,0,0,en_Dsrt_US.xml
en-ER,en,ER,,2,0,en_ER.xml
en-FI,en,FI,,3,0,en_FI.xml
en-FJ,en,FJ,,1,0,en_FJ.xml
en-FK,en,FK,,2,0,en_FK.xml
en-FM,en,FM,,0,0,en_FM.xml
en-GB,en,GB,,3,0,en_GB.xml
en-GD,en,GD,,1,0,en_GD.xml
en-GG,en,GG,,2,0,en_GG.xml
en-GH,en,GH,,2,0,en_GH.xml
en-GI,en,GI,,2,0,en_GI.xml
en-GM,en,GM,,2,0,en_GM.xml
en-GU,en,GU,,1,0,en_GU.xml
en-GY,en,GY,,2,0,en_GY.xml
en-HK,en,HK,,1,0,en_HK.xml
en-ID,en,ID,,2,0,en_ID.xml
en-IE,en,IE,,1,0,en_IE.xml
en-IL,en,IL,,1,0,en_IL.xml
en-IM,en,IM,,2,0,en_IM.xml
en-IN,en,IN,,5,0,en_IN.xml
en-IO,en,IO,,1,0,en_IO.xml
en-JE,en,JE,,2,0,en_JE.xml
en-JM,en,JM,,2,0,en_JM.xml
en-KE,en,KE,,2,0,en_KE.xml
en-KI,en,KI,,1,0,en_KI.xml
en-KN,en,KN,,1,0,en_KN.xml
en-KY,en,KY,,2,0,en_KY.xml
en-LC,en,LC,,1,0,en_LC.xml
en-LR,en,LR,,2,0,en_LR.xml
en-LS,en,LS,,2,0,en_LS.xml
en-MG,en,MG,,2,0,en_MG.xml
en-MH,en,MH,,1,0,en_MH.xml
en-MO,en,MO,,2,0,en_MO.xml
en-MP,en,MP,,1,0,en_MP.xml
en-MS,en,MS,,2,0,en_MS.xml
en-MT,en,MT,,2,0,en_MT.xml
en-MU,en,MU,,2,0,en_MU.xml
en-MV,en,MV,,2,0,en_MV.xml
en-MW,en,MW,,2,0,en_MW.xml
en-MY,en,MY,,2,0,en_MY.xml
en-NA,en,NA,,2,0,en_NA.xml
en-NF,en,NF,,2,0,en_NF.xml
en-NG,en,NG,,2,0,en_NG.xml
en-NL,en,NL,,1,0,en_NL.xml
en-NR,en,NR,,2,0,en_NR.xml
en-NU,en,NU,,2,0,en_NU.xml
en-NZ,en,NZ,,2,0,en_NZ.xml
en-PG,en,PG,,1,0,en_PG.xml
en-PH,en,PH,,0,0,en_PH.xml
en-PK,en,PK,,2,0,en_PK.xml
en-PN,en,PN,,2,0,en_PN.xml
en-PR,en,PR,,0,0,en_PR.xml
en-PW,en,PW,,1,0,en_PW.xml
en-RW,en,RW,,2,0,en_RW.xml
en-SB,en,SB,,1,0,en_SB.xml
en-SC,en,SC,,2,0,en_SC.xml
en-SD,en,SD,,1,0,en_SD.xml
en-SE,en,SE,,3,0,en_SE.xml
en-SG,en,SG,,2,0,en_SG.xml
en-SH,en,SH,,2,0,en_SH.xml
en-SI,en,SI,,1,0,en_SI.xml
en-SL,en,SL,,2,0,en_SL.xml
en-SS,en,SS,,2,0,en_SS.xml
en-SX,en,SX,,2,0,en_SX.xml
en-SZ,en,SZ,,2,0,en_SZ.xml
en-Shaw,en,,,4,0,en_Shaw.xml
en-Shaw-GB,en,GB,,0,0,en_Shaw_GB.xml
en-TC,en,TC,,0,0,en_TC.xml
en-TK,en,TK,,2,0,en_TK.xml
en-TO,en,TO,,1,0,en_TO.xml
en-TT,en,TT,,1,0,en_TT.xml
en-TV,en,TV,,2,0,en_TV.xml
en-TZ,en,TZ,,2,0,en_TZ.xml
en-UG,en,UG,,2,0,en_UG.xml
en-UM,en,UM,,0,0,en_UM.xml
en-US,en,US,,0,0,en_US.xml
en-US-POSIX,en,US,,2,0,en_US_POSIX.xml
en-VC,en,VC,,1,0,en_VC.xml
en-VG,en,VG,,0,0,en_VG.xml
en-VI,en,VI,,0,0,en_VI.xml
en-VU,en,VU,,1,0,en_VU.xml
en-WS,en,WS,,1,0,en_WS.xml
en-ZA,en,ZA,,3,0,en_ZA.xml
en-ZM,en,ZM,,2,0,en_ZM.xml
en-ZW,en,ZW,,1,0,en_ZW.xml
eo,eo,,,7,0,eo.xml
eo-001,eo,001,,0,0,eo_001.xml
es,es,,,11,0,es.xml
es-419,es,419,,7,0,es_419.xml
es-AR,es,AR,,4,0,es_AR.xml
es-BO,es,BO,,3,0,es_BO.xml
es-BR,es,BR,,2,0,es_BR.xml
es-BZ,es,BZ,,2,0,es_BZ.xml
es-CL,es,CL,,4,0,es_CL.xml
es-CO,es,CO,,4,0,es_CO.xml
es-CR,es,CR,,4,0,es_CR.xml
es-CU,es,CU,,1,0,es_CU.xml
es-DO,es,DO,,5,0,es_DO.xml
es-EA,es,EA,,0,0,es_EA.xml
es-EC,es,EC,,3,0,es_EC.xml
es-ES,es,ES,,0,0,es_ES.xml
es-GQ,es,GQ,,1,0,es_GQ.xml
es-GT,es,GT,,4,0,es_GT.xml
es-HN,es,HN,,3,0,es_HN.xml
es-IC,es,IC,,0,0,es_IC.xml
es-MX,es,MX,,8,0,es_MX.xml
es-NI,es,NI,,3,0,es_NI.xml
es-PA,es,PA,,3,0,es_PA.xml
es-PE,es,PE,,3,0,es_PE.xml
es-PH,es,PH,,2,0,es_PH.xml
es-PR,es,PR,,4,0,es_PR.xml
es-PY,es,PY,,5,0,es_PY.xml
es-SV,es,SV,,3,0,es_SV.xml
es-US,es,US,,10,0,es_US.xml
es-UY,es,UY,,2,0,es_UY.xml
es-VE,es,VE,,3,0,es_VE.xml
et,et,,,11,0,et.xml
et-EE,et,EE,,0,0,et_EE.xml
eu,eu,,,11,0,eu.xml
eu-ES,eu,ES,,0,0,eu_ES.xml
ewo,ewo,,,6,0,ewo.xml
ewo-CM,ewo,CM,,0,0,ewo_CM.xml
fa,fa,,,12,0,fa.xml
fa-AF,fa,AF,,4,0,fa_AF.xml
fa-IR,fa,IR,,0,0,fa_IR.xml
ff,ff,,,7,0,ff.xml
ff-Adlm,ff,,,10,0,ff_Adlm.xml
ff-Adlm-BF,ff,BF,,1,0,ff_Adlm_BF.xml
ff-Adlm-CM,ff,CM,,1,0,ff_Adlm_CM.xml
